block_height,hash,received,confirmed,fees,gas_fee_cap,gas_price,gas_tip_cap,gas_used
20000005,731f24fbd2d38dcbd299d22bfbcc5415b47b81016c944880fdd5924f7014a644,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,7527739915808463,60047055713,60047055713,50000000000,136751
20000005,7d4fdb6a0500746d91cbdf57ba870e8b390e1d38a4d43433368d33b1c781c9c9,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,7314377527864875,60047055713,60047055713,50000000000,132875
20000005,d495e4b29cd88f08e1e34ae2b43e1d4c93bb77f46ea8c4f64ae7c09136c4e3d3,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,8939806988958339,60047055713,60047055713,50000000000,162403
20000005,cc98513b74b6aee3e5abe3086679f73c8994a5045f1b6fbf0f59b62809cbc720,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,7316028939536265,60047055713,60047055713,50000000000,132905
20000005,a9d826529d87ee653534bad3b43f3edbac6ecf58529de8f555f88984ae7f6d3e,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,7315368374867709,60047055713,60047055713,50000000000,132893
20000005,5cf7025450339a80bda6b7f2e7f92c2b7a569a0bdf7ebd72858194952643eb84,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,2094450290531296,18970000000,18970000000,11190000000,128992
20000005,470b5ff1fe4b11f34fa4a182ecab7f04d5157d82dc3e830a57c8cf5e36b5ccfb,2024-06-01T22:37:43.821Z,2024-06-01T22:37:47Z,233981604297000,11141981157,11141981157,11141981157,21000
20000005,6d27669c05331a4df7d2b69cdea2018a0dcf6b246f5cdf875f013926e229c699,2024-06-01T22:37:41.937Z,2024-06-01T22:37:47Z,11498060000000000,35000000000,35000000000,5000000000,328516
20000005,561e513c8a2f69045646711eaabd865533d88a89e918655cff5fe96b6986af21,2024-06-01T22:37:44.324Z,2024-06-01T22:37:47Z,210000000000000,10000000000,10000000000,10000000000,21000
20000005,21dcf45175c1ad8cf625517d5f10cfae4121c8eaf0ba1cbfff63dad44bac8854,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,1549515837713676,9374868939,9374868939,4657382045,165284
20000005,fc578da9def712a3144d3370a8f172d90a8d61bc9be6d775dc0e843b3f74da2a,2024-06-01T22:37:45.279Z,2024-06-01T22:37:47Z,516766219191830,9000000000,9000000000,3300000000,61910
20000005,d19361ab82890b1ce9b5c30f078772e44e81adf31616d3b299daee8db7388f27,2024-06-01T22:37:35.379Z,2024-06-01T22:37:47Z,173433953574000,8258759694,8258759694,8258759694,21000
20000005,b6cec2a19e1ed6a583f79b4666c450e10cdae4cd7f2400f23ff9a6485baae7d6,2024-06-01T22:37:47Z,2024-06-01T22:37:47Z,3456514050583278,8143436157,8143436157,8143436157,424454
20000005,28bc38a2c974ade10ece9929cec781b226a2d454dc91d92a360cdad2910903c6,2024-06-01T22:37:38.109Z,2024-06-01T22:37:47Z,375081313838643,10274876665,10274876665,3000000000,46611
20000005,0550e48dcf8c1d409be55526abc57629e0e236d7eaf98c2c66aa7d0b871036fd,2024-06-01T22:37:39.991Z,2024-06-01T22:37:47Z,416483415482028,102000000000,102000000000,3000000000,51756
20000005,a3a6c51f8affe9a81627f6f95b425cbddfe951e2f0ab9fc4d9e0a8928cd05804,2024-06-01T22:37:40.052Z,2024-06-01T22:37:47Z,508549779894461,102000000000,102000000000,3000000000,63197
20000006,b7478eb962d999f3c450cfcb63aacb2ffcfb1774f50de74660f19124af645459,2024-06-01T22:37:49.583Z,2024-06-01T22:37:59Z,611507000000000,13000000000,13000000000,13000000000,47039
20000006,7a1fd2153a525054265ab9c05a79e2caa7e4ca7a1b471d4bc76ec2dde2c020c4,2024-06-01T22:37:52.999Z,2024-06-01T22:37:59Z,627731000000000,13000000000,13000000000,13000000000,48287
20000006,8d7a44ef34d62e7ecccac239ca3f9693f5aea8464e66783d84062874faa089cd,2024-06-01T22:37:52.906Z,2024-06-01T22:37:59Z,233981604297000,11141981157,11141981157,11141981157,21000
20000006,4b699bc30025c67e1332e515e868882e5ca30d64bb1a59603addab9dd7a8e8a0,2024-06-01T22:37:53.355Z,2024-06-01T22:37:59Z,3103247779420250,100000000000,100000000000,6000000000,279977
20000006,5db86bc8df87056db276aed3a59a5c06932bf70f4391716a53715a083420ba1e,2024-06-01T22:37:56.438Z,2024-06-01T22:37:59Z,10060470000000000,35000000000,35000000000,5000000000,287442
20000006,d4ef90a3271c2883358a5be5b3cbab7722789b91a2870ce5e41ac21a24664868,2024-06-01T22:37:51.457Z,2024-06-01T22:37:59Z,562140000000000,10000000000,10000000000,10000000000,56214
20000006,abdae5a84d40210eb875eeeaff5faf6118210a575a695f293cc0a02ee5324d91,2024-06-01T22:37:53.029Z,2024-06-01T22:37:59Z,210000000000000,10000000000,10000000000,10000000000,21000
20000006,0713f58a00375a5de8601b80140682bbcb30d6faa3fa537d8a5e181d6f972ca5,2024-06-01T22:37:51.572Z,2024-06-01T22:37:59Z,451423616496600,8731597998,8731597998,8731597998,51700
20000006,3e76e058bba7c68960330acde69e2734145be49ea5c69b26964eb813aba73d76,2024-06-01T22:37:49.723Z,2024-06-01T22:37:59Z,169762703250000,102000000000,102000000000,3000000000,21000
20000006,e6bc35e429969b511c8c85cdd79914783f4c5600720869a3f8ea18fe739efcd9,2024-06-01T22:37:49.728Z,2024-06-01T22:37:59Z,169762703250000,102000000000,102000000000,3000000000,21000
20000006,d2c1d10471e04360e6c65e339e93d36ccff3d35b8e8f4640ee2b2bed10afcb19,2024-06-01T22:37:53.295Z,2024-06-01T22:37:59Z,380801995204500,10570583569,10570583569,3000000000,47106
20000006,6e05f48b66106540891e387bf600e845c47f66782a2a0f3636b16ec7f32ed805,2024-06-01T22:37:54.588Z,2024-06-01T22:37:59Z,169762703250000,10570583569,10570583569,3000000000,21000
20000006,1c638257a8be1259a49fec4468b7181528d0975fa6e6943531ac68287f855c53,2024-06-01T22:37:54.278Z,2024-06-01T22:37:59Z,375466595959500,11141981157,11141981157,3000000000,46446
20000006,4a131ccb03e71c6b173c1cd84a64e9cb1e5125e352fb62d7e0bec83b30231d28,2024-06-01T22:37:47.416Z,2024-06-01T22:37:59Z,168000000000000,8000000000,8000000000,8000000000,21000
20000006,da4b70d937196c28767da325d52c18c23c470cbf0619661d8bc372b1402eb8a0,2024-06-01T22:37:50.685Z,2024-06-01T22:37:59Z,160774967052000,8542115694,8542115694,2572012562,21000
20000006,98b6b43261588150faac39a924be402ae2e53f194097a37ab99efa97dbee6ba2,2024-06-01T22:37:52.242Z,2024-06-01T22:37:59Z,352456071883750,8000000000,8000000000,2400000000,47095
20000006,9481c72442a6c0fa83a1f363e4c7803ae4eebd2d2ef5f6ea2e19eebe4a859be6,2024-06-01T22:37:47.679Z,2024-06-01T22:37:59Z,148762703250000,7961834561,7961834561,2000000000,21000
20000006,68152fa5c69025cbe21eded981708f0213ff776fbdfaed0e8f2a08596d72615b,2024-06-01T22:37:50.635Z,2024-06-01T22:37:59Z,148762703250000,10143436157,10143436157,2000000000,21000
